NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6001204490,000000000000321347,Consumption,2023-07-29,No,0.0125,0.0125,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0250,0.0562,0.0312,0.0062,0.0187,0.0062,0.0125,0.0125,0.0062,0.0187,0.0062,0.0125,0.0125,0.0125,0.0187,0.0125,0.0125,0.0125,0.0187,0.0125,0.0187,0.0125,0.0125,0.0125
6001204490,000000000000321347,Controlled Load Consumption,2023-07-29,No,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5250,0.3812
6001204490,000000000000321347,Consumption,2023-07-30,No,0.0125,0.0062,0.0125,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0125,0.0125,0.0062,0.0125,0.0125,0.0125,0.0125,0.0062,0.0187,0.0562,0.0375,0.0187,0.0125,0.0125,0.0125,0.0125,0.0187,0.0125,0.0125,0.0125,0.0187,0.0125,0.0125
6001204490,000000000000321347,Controlled Load Consumption,2023-07-30,No,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1937,0.9187
6001204490,000000000000321347,Consumption,2023-07-31,No,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0062,0.0125,0.0062,0.0062,0.0125,0.0125,0.0125,0.0062,0.0125,0.0062,0.0125,0.0125,0.0125,0.0062,0.0125,0.0125,0.0750,0.0625,0.8625,0.0937,0.0562,0.0500,0.0500,0.2062,0.5125,0.4250,0.3125
6001204490,000000000000321347,Controlled Load Consumption,2023-07-31,No,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4625,1.5500
6001204490,000000000000321347,Consumption,2023-08-01,No,0.0500,0.0187,0.0125,0.0187,0.0125,0.0125,0.0062,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.1375,0.1312,0.0187,0.0125,0.3500,0.0500,0.1375,0.3687,0.0625,0.0437,0.2062,0.0625,0.5875,0.0625,0.0562,0.0500,0.0562,0.0562,0.0625,0.0562,0.1687,0.0312,0.0500,0.2187,0.3875,0.0562,0.0437,0.0500,0.0437,0.0500,0.0500,0.1187,0.5062,0.5187,0.0250
6001204490,000000000000321347,Controlled Load Consumption,2023-08-01,No,0.8937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1937,0.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4562,1.5375
6001204490,000000000000321347,Consumption,2023-08-02,No,0.0187,0.0062,0.0062,0.0125,0.0125,0.0062,0.0062,0.0125,0.0062,0.0125,0.0250,0.0500,0.0312,0.0062,0.0125,0.5437,0.4500,0.1687,0.2062,0.1250,0.0125,0.0687,0.0625,0.0187,0.2812,0.2312,0.0562,0.1625,0.1312,0.1562,0.0375,0.0437,0.0687,0.0312,0.0625,0.0562,0.0562,0.4375,0.0625,0.0562,0.0437,0.0500,0.0500,0.0562,0.0500,0.5000,0.3375,0.0187
6001204490,000000000000321347,Controlled Load Consumption,2023-08-02,No,1.5312,1.5437,1.5250,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3812,1.5312
