datetime_utc,datetime_local,watt_hours,cost_dollars,is_peak
2025-06-19 14:00:00,2025-06-20 00:00:00,33.1250000000,0.0439921282,false
2025-06-19 15:00:00,2025-06-20 01:00:00,26.5625000000,0.0426415801,false
2025-06-19 16:00:00,2025-06-20 02:00:00,28.7500000000,0.0430917628,false
2025-06-19 17:00:00,2025-06-20 03:00:00,29.0625000000,0.0431560725,false
2025-06-19 18:00:00,2025-06-20 04:00:00,26.8750000000,0.0427058935,false
2025-06-19 19:00:00,2025-06-20 05:00:00,29.0625000000,0.0431560725,false
2025-06-19 20:00:00,2025-06-20 06:00:00,497.1875000000,0.1394961774,false
2025-06-19 21:00:00,2025-06-20 07:00:00,621.2500000000,0.1650282890,false
2025-06-19 22:00:00,2025-06-20 08:00:00,392.8125000000,0.1180158183,false
2025-06-19 23:00:00,2025-06-20 09:00:00,25.9375000000,0.0425129533,false
2025-06-20 00:00:00,2025-06-20 10:00:00,23.4375000000,0.0419984534,false
2025-06-20 01:00:00,2025-06-20 11:00:00,27.1875000000,0.0427701995,false
2025-06-20 02:00:00,2025-06-20 12:00:00,27.8125000000,0.0428988300,false
2025-06-20 03:00:00,2025-06-20 13:00:00,31.5625000000,0.0436705612,false
2025-06-20 04:00:00,2025-06-20 14:00:00,24.3750000000,0.0421913937,false
2025-06-20 05:00:00,2025-06-20 15:00:00,35.3125000000,0.0461337864,true
2025-06-20 06:00:00,2025-06-20 16:00:00,338.4375000000,0.1230365932,true
2025-06-20 07:00:00,2025-06-20 17:00:00,384.0625000000,0.1346116215,true
2025-06-20 08:00:00,2025-06-20 18:00:00,1433.1250000000,0.4007588029,true
2025-06-20 09:00:00,2025-06-20 19:00:00,288.4375000000,0.1103516147,true
2025-06-20 10:00:00,2025-06-20 20:00:00,361.8750000000,0.1289827079,true
2025-06-20 11:00:00,2025-06-20 21:00:00,803.4375000000,0.2025224566,false
2025-06-20 12:00:00,2025-06-20 22:00:00,797.1875000000,0.2012360394,false
2025-06-20 13:00:00,2025-06-20 23:00:00,25.0000000000,0.0423200168,false
2025-06-20 14:00:00,2025-06-21 00:00:00,28.7500000000,0.0430917628,false
2025-06-20 15:00:00,2025-06-21 01:00:00,28.1250000000,0.0429631360,false
2025-06-20 16:00:00,2025-06-21 02:00:00,25.0000000000,0.0423200168,false
2025-06-20 17:00:00,2025-06-21 03:00:00,31.5625000000,0.0436705649,false
2025-06-20 18:00:00,2025-06-21 04:00:00,26.5625000000,0.0426415801,false
2025-06-20 19:00:00,2025-06-21 05:00:00,44.0625000000,0.0462430529,false
2025-06-20 20:00:00,2025-06-21 06:00:00,64.0625000000,0.0503590517,false
2025-06-20 21:00:00,2025-06-21 07:00:00,162.5000000000,0.0706175268,false
2025-06-20 22:00:00,2025-06-21 08:00:00,1270.0000000000,0.2985409200,false
2025-06-20 23:00:00,2025-06-21 09:00:00,640.0000000000,0.1688869148,false
2025-06-21 00:00:00,2025-06-21 10:00:00,49.3750000000,0.0473363809,false
2025-06-21 01:00:00,2025-06-21 11:00:00,242.5000000000,0.0870814994,false
2025-06-21 02:00:00,2025-06-21 12:00:00,527.1875000000,0.1456701905,false
2025-06-21 03:00:00,2025-06-21 13:00:00,282.5000000000,0.0953134298,false
2025-06-21 04:00:00,2025-06-21 14:00:00,145.9375000000,0.0672089383,false
2025-06-21 05:00:00,2025-06-21 15:00:00,56.2500000000,0.0514456406,true
2025-06-21 06:00:00,2025-06-21 16:00:00,206.8750000000,0.0896592140,true
2025-06-21 07:00:00,2025-06-21 17:00:00,1394.3750000000,0.3909278810,true
2025-06-21 08:00:00,2025-06-21 18:00:00,1497.1875000000,0.4170114100,true
2025-06-21 09:00:00,2025-06-21 19:00:00,503.1250000000,0.1648178101,true
2025-06-21 10:00:00,2025-06-21 20:00:00,83.7500000000,0.0584224015,true
2025-06-21 11:00:00,2025-06-21 21:00:00,1284.3750000000,0.3014993370,false
2025-06-21 12:00:00,2025-06-21 22:00:00,791.5625000000,0.2000785917,false
